"MPRL table v3.0"
"TableName";;"CHS(cf)"
"TableID";"d650366d-00e6-48bb-8fce-d9af5d3d7387"
"TableType";"CrossSection"
"Group";"#LNG003"
"TableParam1";"CircularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"D";"t";"Fabrication"
"Unit";;"mm";"mm";
"UnitCoeff";;0,001;0,001;
"Data"
"CHS(cf)21.3/2.0";"{d7a1bac2-0dcc-4d9d-a5f4-0c948dbad64f}";21,2999992370605;2;3
"CHS(cf)21.3/2.5";"{fc6b0508-5c58-4f02-a357-4ae62915deb5}";21,2999992370605;2,5;3
"CHS(cf)21.3/3.0";"{b99c4481-dc75-49e5-a79a-32d6b68e75c6}";21,2999992370605;3;3
"CHS(cf)26.9/2.0";"{2d72802a-5771-4ff7-bab6-3822c4239b56}";26,8999996185303;2;3
"CHS(cf)26.9/2.5";"{f100ab3e-07e4-4cad-9887-77379a3a0985}";26,8999996185303;2,5;3
"CHS(cf)26.9/3.0";"{12864630-e635-4d19-8275-ff209d38d214}";26,8999996185303;3;3
"CHS(cf)33.7/2.0";"{b1a594c6-01aa-4ebd-9b61-c1b02ecff1c4}";33,7000007629395;2;3
"CHS(cf)33.7/2.5";"{a8e6aecb-43f0-41cc-8ece-23496ca00176}";33,7000007629395;2,5;3
"CHS(cf)33.7/3.0";"{52ad8c71-03f3-4ae6-9335-f143704dfbdd}";33,7000007629395;3;3
"CHS(cf)42.4/2.0";"{3adf556c-ca54-4d6c-92d6-1efa822553e7}";42,4000015258789;2;3
"CHS(cf)42.4/2.5";"{c9a78855-1e79-4a09-a962-d352ea7ac158}";42,4000015258789;2,5;3
"CHS(cf)42.4/3.0";"{4f01897b-7952-41f6-80fe-3173346052c6}";42,4000015258789;3;3
"CHS(cf)42.4/4.0";"{72e4ca48-dff1-4e18-a994-15022e89e5a1}";42,4000015258789;4;3
"CHS(cf)48.3/2.0";"{d40af299-a888-4c4f-8c88-06072a78a8ee}";48,2999992370605;2;3
"CHS(cf)48.3/2.5";"{c27fe888-4409-455f-8c90-7185ff3aebe4}";48,2999992370605;2,5;3
"CHS(cf)48.3/3.0";"{8d8df264-e009-412b-8b90-6599a511219f}";48,2999992370605;3;3
"CHS(cf)48.3/4.0";"{caa29635-943d-48f6-b334-c88c906d4122}";48,2999992370605;4;3
"CHS(cf)48.3/5.0";"{607c2d7a-6a6a-4d95-91ba-9049fd3202f3}";48,2999992370605;5;3
"CHS(cf)60.3/2.0";"{c6b7ae39-08e3-4e5b-8780-2f8cab18016d}";60,2999992370605;2;3
"CHS(cf)60.3/2.5";"{12001ffc-a510-4cd1-9cca-73807018f937}";60,2999992370605;2,5;3
"CHS(cf)60.3/3.0";"{42b12ca2-82c9-48f1-a3e1-6796db5035f5}";60,2999992370605;3;3
"CHS(cf)60.3/4.0";"{ce0db1c6-5978-4548-b532-c4f163578700}";60,2999992370605;4;3
"CHS(cf)60.3/5.0";"{c6d76a55-cdab-4a24-ba11-692d9015d2db}";60,2999992370605;5;3
"CHS(cf)76.1/2.0";"{e7309926-5ab4-4d56-8792-f82e910de445}";76,0999984741211;2;3
"CHS(cf)76.1/2.5";"{b88f1dc9-a52b-4496-9d97-2a3a1e7333c1}";76,0999984741211;2,5;3
"CHS(cf)76.1/3.0";"{048bd0d0-66b4-4732-bde6-92c681f5ddf0}";76,0999984741211;3;3
"CHS(cf)76.1/4.0";"{5dc6eb91-64ad-4ff2-a0d7-6a0d36144a05}";76,0999984741211;4;3
"CHS(cf)76.1/5.0";"{5234c8b6-045f-472e-becb-cb448822bd7d}";76,0999984741211;5;3
"CHS(cf)76.1/6.0";"{97919883-62f8-4d58-a76c-e2e51a995717}";76,0999984741211;6;3
"CHS(cf)76.1/6.3";"{53942569-7879-4b65-a230-9a65eebcb53a}";76,0999984741211;6,30000019073486;3
"CHS(cf)88.9/2.0";"{ad06db41-6b82-476f-8ffa-be8bc095c2a7}";88,9000015258789;2;3
"CHS(cf)88.9/2.5";"{33162ce6-f20d-4473-8f31-98ab228c715d}";88,9000015258789;2,5;3
