"MPRL table v3.0"
"TableName";;"RHS"
"TableID";"08a6f5f1-45bc-4387-92d3-0108e03b2d46"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"RectangularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"RHS50/30/2.5";"{35ef581c-0411-48d7-980a-4500f2b1bc82}";30;50;2,5;3,75;1;0,000368;0,0179067633567053;0,0119099885007063;1,18E-07;5,22E-08;4,73E-06;3,48E-06;-7,94093388050907E-22;1,17E-07;0;0;5,8318798828125E-06;4,06418139648438E-06;1,875E-11;0,000138;0,00023
"RHS50/30/3.0";"{09e665ea-1a75-4034-b68e-2567e280af98}";30;50;3;4,5;1;0,000434;0,0177020918340048;0,0116989896763355;1,36E-07;5,94E-08;5,43E-06;3,96E-06;-8,45378586029194E-22;1,35E-07;0;0;6,75874560546875E-06;4,693259765625E-06;2,25E-11;0,00016275;0,00027125
"RHS50/30/3.2";"{1aad3616-fe1c-4a1f-a8e2-59b6e293869f}";30;50;3,20000004768372;4,80000019073486;1;0,00046;0,0175697368271102;0,0116095912372336;1,42E-07;6,2E-08;5,68E-06;4,13E-06;7,11375326795604E-23;1,42E-07;0;0;7,10821630859375E-06;4,9288193359375E-06;2,40000003576279E-11;0,0001725;0,0002875
"RHS50/30/4.0";"{54b3afd0-e414-4729-82ac-bc320834f32a}";30;50;4;6;1;0,000559;0,0171805106540154;0,011254098835901;1,65E-07;7,08E-08;6,6E-06;4,72E-06;7,2130149414624E-22;1,66E-07;0;0;8,38741796875E-06;5,78210986328125E-06;3E-11;0,000209625;0,000349375
"RHS50/30/5.0";"{11bad75a-b4a2-4e5f-a732-d53b62357a37}";30;50;5;7,5;1;0,000673;0,0166691429562081;0,0108275692365399;1,87E-07;7,89E-08;7,49E-06;5,26E-06;-4,10281583826302E-22;1,9E-07;0;0;9,7280546875E-06;6,6572607421875E-06;3,75E-11;0,000252375;0,000420625
"RHS60/40/2.5";"{5afff720-9501-4339-8463-e4371305d6b4}";40;60;2,5;3,75;1;0,000468;0,0220721427863152;0,0160793970206289;2,28E-07;1,21E-07;7,61E-06;6,03E-06;-9,92616735063633E-23;2,51E-07;0;0;9,2157294921875E-06;6,94803076171875E-06;6E-11;0,0001872;0,0002808
"RHS60/40/3.0";"{3e2e43e9-368f-4ddf-a49a-36eb8578e8f0}";40;60;3;4,5;1;0,000554;0,0218709704901384;0,0158399030008334;2,65E-07;1,39E-07;8,82E-06;6,95E-06;3,40136667881805E-21;2,92E-07;0;0;1,076148828125E-05;8,09600244140625E-06;7,2E-11;0,0002216;0,0003324
"RHS60/40/3.2";"{29d5e1a6-6e07-4160-a4be-e1971c0a999b}";40;60;3,20000004768372;4,80000019073486;1;0,000588;0,0217437143939636;0,0157575162931184;2,78E-07;1,46E-07;9,27E-06;7,29E-06;-8,60267837055149E-22;3,08E-07;0;0;1,1353115234375E-05;8,5337177734375E-06;7,68000011444092E-11;0,0002352;0,0003528
"RHS60/40/4.0";"{3b291a5e-144f-47c3-8a27-b3df4e08aaff}";40;60;4;6;1;0,000719;0,0213585849624792;0,0153765893261344;3,28E-07;1,7E-07;1,09E-05;8,52E-06;6,88214269644119E-22;3,67E-07;0;0;1,3570072265625E-05;1,0164763671875E-05;9,6E-11;0,0002876;0,0004314
"RHS60/40/5.0";"{62d13bd0-13cf-433a-ad60-7bea0cf2c0cf}";40;60;5;7,5;1;0,000873;0,0208908141736623;0,0149454908783386;3,81E-07;1,95E-07;1,27E-05;9,77E-06;8,83428894206634E-22;4,3E-07;0;0;1,6013451171875E-05;1,19426572265625E-05;1,2E-10;0,0003492;0,0005238
"RHS60/40/6.3";"{835abb78-32a1-4eff-ad99-ce6775a97841}";40;60;6,30000019073486;9,44999980926514;1;0,00106;0,0202344745981741;0,0143737181544966;4,34E-07;2,19E-07;1,45E-05;1,1E-05;3,73885636873969E-22;4,95E-07;0;0;1,8667630859375E-05;1,3842837890625E-05;1,51200004577637E-10;0,000424;0,000636
