"MPRL table v3.0"
"TableName";;"SHS"
"TableID";"78518acd-9921-499a-9bca-a1c00df46fef"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"SquareHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"SHS40/40/2.5";"{4f352323-2874-4e96-ab5a-8d95ae4b026a}";40;40;2,5;3,75;1;0,000368;0,0152336869270477;0,0152336869270477;8,54E-08;8,54E-08;4,27E-06;4,27E-06;-1,15805285757424E-22;1,36E-07;0;0;5,07303076171875E-06;5,07303076171875E-06;2,13333333333333E-11;0,000184;0,000184
"SHS40/40/3.0";"{08dc8db9-547d-467d-bfd4-23640f32d67f}";40;40;3;4,5;1;0,000434;0,0150115163164757;0,0150115163164757;9,78E-08;9,78E-08;4,89E-06;4,89E-06;1,90582413132218E-21;1,57E-07;0;0;5,87600244140625E-06;5,87600244140625E-06;2,56E-11;0,000217;0,000217
"SHS40/40/3.2";"{61a26f28-88da-49d8-bd16-95a9a599524c}";40;40;3,20000004768372;4,80000019073486;1;0,00046;0,0148909076430815;0,0148909076430815;1,02E-07;1,02E-07;5,11E-06;5,11E-06;-2,60065584586672E-21;1,65E-07;0;0;6,17851806640625E-06;6,17851806640625E-06;2,73066670735677E-11;0,00023;0,00023
"SHS40/40/4.0";"{214ac52b-aec5-41c5-b935-365c3bfc2fd7}";40;40;4;6;1;0,000559;0,0145289791226723;0,0145289791226723;1,18E-07;1,18E-07;5,91E-06;5,91E-06;-1,65436122510606E-24;1,95E-07;0;0;7,284763671875E-06;7,284763671875E-06;3,41333333333333E-11;0,0002795;0,0002795
"SHS40/40/5.0";"{d00d55e4-c643-4db9-8135-b8a210fcb38c}";40;40;5;7,5;1;0,000673;0,0141105800568005;0,0141105800568005;1,34E-07;1,34E-07;6,68E-06;6,68E-06;2,79587047042923E-22;2,25E-07;0;0;8,4426572265625E-06;8,4426572265625E-06;4,26666666666667E-11;0,0003365;0,0003365
"SHS50/50/2.5";"{3c8f9f4e-79a0-4f67-a080-273b45a64f8f}";50;50;2,5;3,75;1;0,000468;0,019337311703844;0,019337311703844;1,75E-07;1,75E-07;6,99E-06;6,99E-06;-5,29395592033938E-23;2,75E-07;0;0;8,2068798828125E-06;8,2068798828125E-06;6,51041666666667E-11;0,000234;0,000234
"SHS50/50/3.0";"{7a0c2b48-8b91-4e98-95be-4efa3cff6488}";50;50;3;4,5;1;0,000554;0,0190950501080295;0,0190950501080295;2,02E-07;2,02E-07;8,08E-06;8,08E-06;4,01017160965708E-21;3,21E-07;0;0;9,5787451171875E-06;9,5787451171875E-06;7,8125E-11;0,000277;0,000277
"SHS50/50/3.2";"{8301f9c9-e081-4fc8-b79b-61a48d2be449}";50;50;3,20000004768372;4,80000019073486;1;0,000588;0,0189880019403589;0,0189880019403589;2,12E-07;2,12E-07;8,49E-06;8,49E-06;-4,98955345491986E-21;3,38E-07;0;0;1,01034169921875E-05;1,01034169921875E-05;8,33333345750968E-11;0,000294;0,000294
"SHS50/50/4.0";"{bea5da1a-4150-4283-99e1-c8b9159eb42e}";50;50;4;6;1;0,000719;0,018646853515705;0,018646853515705;2,5E-07;2,5E-07;9,99E-06;9,99E-06;-4,63221143029695E-22;4,04E-07;0;0;1,206741796875E-05;1,206741796875E-05;1,04166666666667E-10;0,0003595;0,0003595
"SHS50/50/5.0";"{f8928e20-529b-4433-8826-fe7467e774a6}";50;50;5;7,5;1;0,000873;0,0181945701402582;0,0181945701402582;2,89E-07;2,89E-07;1,16E-05;1,16E-05;-1,66097867000648E-21;4,76E-07;0;0;1,42280546875E-05;1,42280546875E-05;1,30208333333333E-10;0,0004365;0,0004365
"SHS50/50/6.3";"{3b0fe3e3-0f57-47d7-921c-42e7bcaa0016}";50;50;6,30000019073486;9,44999980926514;1;0,00106;0,0175907351257459;0,0175907351257459;3,28E-07;3,28E-07;1,31E-05;1,31E-05;2,48154183765908E-21;5,52E-07;0;0;1,6570234375E-05;1,6570234375E-05;1,64062504967054E-10;0,00053;0,00053
